"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.245325000E-3,8.828163147E-3,1.647263765E-2,4.922676086E-2,5.265508751E-2
1.294496100E-2,3.575897217E-2,3.339904547E-2,1.290535927E-1,1.380182238E-1
1.774042900E-2,6.935119629E-3,5.036747456E-2,1.776156425E-1,1.847492757E-1
2.253584600E-2,1.932144165E-3,7.507926226E-2,1.816911697E-1,1.966019073E-1
2.733126300E-2,-3.229885101E-1,1.324593425E-1,1.116738319E-1,3.665216226E-1
3.212662700E-2,-4.137754440E-1,6.197744608E-2,8.794403076E-2,4.275341793E-1
3.692204400E-2,-1.187114716E-1,-5.899149179E-2,3.332042694E-2,1.366845289E-1
4.171746100E-2,3.075122833E-1,-1.346905231E-1,1.678633690E-2,3.361355716E-1
4.651287700E-2,4.752082825E-1,-1.497169137E-1,1.394937038E-1,5.173940079E-1
5.130829400E-2,3.929862976E-1,-1.207773685E-1,3.192603588E-1,5.205310553E-1
5.610371100E-2,1.955776215E-1,-8.836418390E-2,5.451314449E-1,5.858558929E-1
6.089907500E-2,-4.297828674E-2,-3.255844116E-2,6.529958248E-1,6.552180801E-1
6.569449200E-2,-1.983222961E-1,-1.217544079E-2,7.610182762E-1,7.865295870E-1
7.048990900E-2,-2.774677277E-1,-2.335190773E-3,7.851471901E-1,8.327363947E-1
7.528532500E-2,-2.700023651E-1,2.925950289E-2,7.662992477E-1,8.130018037E-1
8.008074200E-2,-2.640762329E-1,2.762597799E-2,7.425706387E-1,7.886130894E-1
8.487615900E-2,-2.435379028E-1,7.369220257E-2,7.319839001E-1,7.749462438E-1
8.967157500E-2,-2.587327957E-1,9.037256241E-2,6.248540878E-1,6.823140704E-1
9.446694000E-2,-2.646484375E-1,1.201008558E-1,6.025540829E-1,6.689801446E-1
9.926235600E-2,-2.593259811E-1,1.077225804E-1,5.241987705E-1,5.946750960E-1
1.040577730E-1,-2.087965012E-1,8.026283979E-2,4.104003906E-1,4.674040896E-1
1.088531900E-1,-9.871387482E-2,6.811296940E-2,3.880233765E-1,4.061353794E-1
1.136486060E-1,-4.573726654E-2,5.916547775E-2,3.315963745E-1,3.399244135E-1
1.184440230E-1,3.761196136E-2,5.103969574E-2,2.766544819E-1,2.838263774E-1
1.232394400E-1,8.595752716E-2,3.902018070E-2,2.296724319E-1,2.483157204E-1
1.280348040E-1,1.006183624E-1,3.700220585E-2,2.037265301E-1,2.302123306E-1
1.328302210E-1,7.579708099E-2,5.143606663E-2,1.954181194E-1,2.158219355E-1
1.376256380E-1,3.579711914E-2,4.691785574E-2,2.247238159E-1,2.323435223E-1
1.424210540E-1,-9.721755981E-3,3.093695641E-2,2.488148212E-1,2.509191565E-1
1.472164710E-1,-4.675769806E-2,2.453082800E-2,2.865352631E-1,2.913597447E-1
1.520118880E-1,-9.187602997E-2,8.808314800E-3,3.143451214E-1,3.276150891E-1
1.568072520E-1,-1.078281403E-1,1.892316341E-2,3.092775345E-1,3.280816778E-1
1.616026690E-1,-8.154296875E-2,6.123888493E-2,2.908651829E-1,3.082239630E-1
1.663980860E-1,-2.813148499E-2,1.025367975E-1,2.849550247E-1,3.041455924E-1
1.711935020E-1,-3.667926788E-2,1.126884818E-1,2.771642208E-1,3.014366732E-1
1.759889190E-1,-7.752418518E-3,1.111578941E-1,2.931010723E-1,3.135672432E-1
1.807843360E-1,-3.084468842E-2,9.119498730E-2,3.018417358E-1,3.168222751E-1
1.855797000E-1,-8.140563965E-2,3.439140320E-2,2.847979069E-1,2.981937198E-1
1.903751170E-1,-9.590148926E-2,-1.099109650E-4,2.913985252E-1,3.067738715E-1
1.951705340E-1,-1.009826660E-1,-4.095757008E-2,2.672007084E-1,2.885675657E-1
1.999659500E-1,-8.057689667E-2,-6.461888552E-2,2.034265995E-1,2.281460454E-1
2.047613670E-1,-4.692745209E-2,-7.146108150E-2,1.476786137E-1,1.706395173E-1
2.095567840E-1,2.112388611E-3,-8.047461510E-2,1.092040539E-1,1.356692716E-1
2.143522000E-1,5.935192108E-2,-5.872970819E-2,6.676483154E-2,1.069082405E-1
2.191475650E-1,1.130752563E-1,-2.789139748E-2,5.576324463E-2,1.291258421E-1
2.239429810E-1,1.213521957E-1,-1.153826714E-2,5.701518059E-2,1.345742094E-1
2.287383980E-1,9.925651550E-2,-7.082521915E-3,1.125931740E-1,1.502639039E-1
2.335338150E-1,8.024501801E-2,2.083891630E-2,1.559135914E-1,1.765858752E-1
2.383292310E-1,4.080104828E-2,1.779860258E-2,1.943190098E-1,1.993524350E-1
2.431246480E-1,-2.103996277E-2,4.314631224E-2,2.209167480E-1,2.260718776E-1
2.479200650E-1,-3.452014923E-2,5.176907778E-2,2.358801365E-1,2.439490047E-1
2.527154290E-1,-7.107162476E-2,6.037163734E-2,2.392597198E-1,2.567900387E-1
2.575108460E-1,-7.866096497E-2,5.249804258E-2,2.523336411E-1,2.694732979E-1
2.623062630E-1,-9.544849396E-2,4.489809275E-2,2.583842278E-1,2.790854043E-1
2.671016790E-1,-1.119527817E-1,2.807688713E-2,2.832422256E-1,3.058560042E-1
2.718970960E-1,-9.066581726E-2,3.737485409E-2,3.005335331E-1,3.161290475E-1
2.766925130E-1,-9.808444977E-2,3.934425116E-2,3.103809357E-1,3.278793293E-1
2.814879290E-1,-9.137344360E-2,1.533609629E-2,2.776463032E-1,2.926974064E-1
2.862832940E-1,-8.483123779E-2,-1.242160797E-3,2.242903709E-1,2.398000258E-1
2.910787110E-1,-1.113777161E-1,1.061803102E-2,1.718719006E-1,2.050797124E-1
2.958741270E-1,-1.163120270E-1,-3.697037697E-3,1.510243416E-1,1.906580905E-1
3.006695440E-1,-1.070852280E-1,-3.192102909E-2,1.305134296E-1,1.718137173E-1
3.054649610E-1,-1.051435471E-1,-5.739629269E-2,1.102523804E-1,1.628038307E-1
3.102603770E-1,-6.562995911E-2,-7.543981075E-2,1.278717518E-1,1.623257265E-1
3.150557420E-1,-1.976490021E-2,-8.855128288E-2,1.497406960E-1,1.750835715E-1
3.198511590E-1,1.821708679E-2,-1.014875174E-1,1.451096535E-1,1.780123309E-1
3.246465750E-1,2.014160156E-2,-8.838415146E-2,1.520638466E-1,1.770334877E-1
3.294419920E-1,2.660751343E-2,-8.029371500E-2,1.539056301E-1,1.756188584E-1
3.342374090E-1,2.578163147E-2,-5.824601650E-2,1.696267128E-1,1.811919222E-1
3.390328250E-1,2.958965302E-2,-7.193005085E-2,1.755001545E-1,1.919629756E-1
3.438281900E-1,4.038047791E-2,-6.192702055E-2,1.623542309E-1,1.783940446E-1
3.486236060E-1,5.335712433E-2,-3.793525696E-2,1.446282864E-1,1.587558114E-1
3.534190230E-1,6.851100922E-2,-3.546559811E-2,1.507267952E-1,1.693225733E-1
